version,total_cases,measured_cases,provider_error_cases,passed_cases,case_accuracy,multiturn_accuracy,run_file
v0,15,15,0,8,0.5333,0.25,D:\DEV\Project\AI_THUC_CHIEN\LAB\NGAY4\agentday4\starter_v2\runs\comparisons\attack_15_20260729T230125666781\v0_normalized.json
v1,15,15,0,8,0.5333,0.25,D:\DEV\Project\AI_THUC_CHIEN\LAB\NGAY4\agentday4\starter_v2\runs\comparisons\attack_15_20260729T230125666781\v1_normalized.json
v2,15,15,0,15,1.0,1.0,D:\DEV\Project\AI_THUC_CHIEN\LAB\NGAY4\agentday4\starter_v2\runs\comparisons\attack_15_20260729T230125666781\v2_normalized.json
