version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,system_prompt,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,baseline,baseline,case_accuracy,0.70,0.70,starter_v0\runs\v0_B_base_openai_20260729T151402795708.json
v1,team,system_prompt,vv1+pc4656d3cd657+t6cdb53d5d7b8,c4656d3cd657987903d09df17080299cc9e55d9eaebe210ed1424c740e08fc0e,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,clarify_missing_info,explicit clarification for missing handle/URL should reduce missing-info failures,case_accuracy,0.70,0.85,starter_v0\runs\v1_B_base_openai_20260729T163000967577.json
v2,team,system_prompt,v2+p79f194c02f87+tf4c1024aef73,79f194c02f877ac2cc23612ba808c72608d88271e802def6e1e8e251ed6e5c2a,f4c1024aef735a75a6a4fdb1eebd46db21cfd99137fb2741d9c4b0ff9963efa2,clarify_confirmation_and_source_switching,explicit yes/no confirmation and source-switch handling should reduce boundary/tool mistakes,case_accuracy,0.85,0.90,starter_v0\runs\v2_B_base_openai_20260729T173318036149.json
